blank column - ignore,,,,,,
blank row - ignore,,,,,,
,Criteria,unit,value,location within file,File,report alias
,Total Handle Calls ,#,1029,Column B,IC_Reports_AgentSummary (6),agent summary
,Average Handle Time (AHT),Minutes ,5:46,Column C,IC_Reports_AgentSummary (6),agent summary
,Agent Unavailable Time (AUT),Hours,27.1425,table total/3600,current table,
,Escalation rate  ,%,,,,
,Call quality monitoring score ,%,,,,
,Schedule adherence  ,%,,,,
,Refused Calls,%,3,Column H,IC_Reports_AgentSummary (6),agent summary
blank row - ignore,,,,,,
,AUT breakdown ,seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,ARF,seconds,4,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Correcting & Repost,seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Edit & Transfer,seconds,86174,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Emails,seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Faxes,,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Meeting,seconds,2601,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Misc,seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Payment Plan,seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Personal,seconds,10048,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Printing/Adding to log,,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Statements,seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Task,seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Technical Issue,seconds,2536,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Training,seconds,2525,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Vms,,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Wrap Up(above the alloted 30s pe call),seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Break (above the alloted time),seconds,,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Lunch (above the alloted time),seconds,1487,column B list,IC_Reports_AgentUnavailableTime (25),Agent unavailable time
,Total ,Hours,97713,"""D13+D15+D14+D16+D19+D20+D21+D23+D28+D29+D30""",Current table,
